;Player;Class;Pos;Height;Summary
0;Chier Ajou;JR;C;85;0.3 Pts 1.0 Reb 0.1 Ast
1;Rashed Anthony;FR;F;81;0.9 Pts 1.4 Reb 0.1 Ast
2;Khadeen Carrington;FR;G;75;8.8 Pts 2.9 Reb 1.8 Ast
3;Angel Delgado;FR;F;81;9.3 Pts 9.8 Reb 0.9 Ast
4;Sterling Gibbs;JR;G;74;16.3 Pts 2.1 Reb 3.8 Ast
5;Haralds Karlis;SR;G;78;3.3 Pts 0.7 Reb 0.5 Ast
6;Stephane Manga;SR;G-F;78;2.6 Pts 1.5 Reb 0.3 Ast
7;Brandon Mobley;SR;F;81;9.8 Pts 5.0 Reb 0.6 Ast
8;Desi Rodriguez;FR;F;78;5.6 Pts 4.5 Reb 0.5 Ast
9;Ismael Sanogo;FR;G;79;0.5 Pts 1.0 Reb 0.1 Ast
10;Jaren Sina;FR;G;74;7.0 Pts 2.5 Reb 2.3 Ast
11;Isaiah Whitehead;FR;G;76;12.0 Pts 3.9 Reb 3.5 Ast
