;Rk;Player;G;MP;PER;TS%;eFG%;3PAr;FTr;PProd;ORB%;DRB%;TRB%;AST%;STL%;BLK%;TOV%;USG%;Unnamed: 18;OWS;DWS;WS;WS/40;Unnamed: 23;OBPM;DBPM;BPM
0;1;Matt Carlino;28;924;19.3;0.574;0.533;0.619;0.297;386;2.1;11.3;6.8;21.9;2.7;0.2;14.9;25.1;;2.0;0.9;3.0;0.129;;5.9;0.4;6.3
1;2;Luke Fischer;24;704;18.8;0.61;0.609;0.006;0.523;232;6.8;12.8;9.8;7.4;1.1;8.5;16.5;20.0;;1.2;0.8;2.0;0.113;;0.4;5.0;5.4
2;3;Duane Wilson;32;899;15.3;0.519;0.474;0.45;0.407;351;1.8;8.4;5.1;17.2;2.6;1.0;13.9;25.5;;1.2;0.8;2.0;0.088;;2.0;0.2;2.1
3;4;Juan Anderson;31;883;14.8;0.539;0.53;0.232;0.429;268;9.4;14.7;12.1;13.1;2.5;1.5;21.2;18.5;;0.8;1.1;1.9;0.084;;1.0;3.1;4.1
4;5;Derrick Wilson;32;1053;11.7;0.449;0.439;0.236;0.436;246;3.4;10.9;7.2;27.9;2.2;1.1;20.4;12.8;;0.8;1.0;1.8;0.068;;-0.2;2.3;2.0
5;6;Steve Taylor;32;707;13.5;0.508;0.506;0.187;0.241;186;10.7;16.5;13.7;4.3;1.5;0.8;13.6;16.3;;0.7;0.7;1.4;0.079;;-0.7;0.6;0.0
6;7;JaJuan Johnson;31;673;12.7;0.448;0.409;0.324;0.244;222;2.7;11.6;7.2;18.1;3.1;1.9;16.3;24.1;;-0.1;0.8;0.7;0.042;;-1.8;2.0;0.2
7;8;Sandy Cohen;31;465;9.5;0.495;0.476;0.629;0.267;109;1.3;11.2;6.3;11.4;2.1;1.7;15.7;16.3;;0.2;0.5;0.6;0.053;;-0.8;1.2;0.4
8;9;Deonte Burton;8;129;15.7;0.579;0.528;0.278;0.472;43;4.7;5.5;5.1;3.5;4.8;2.6;20.0;23.0;;0.1;0.2;0.3;0.084;;-0.4;2.4;2.0
9;10;John Dawson;1;4;-11.5;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.5;;0.0;0.0;0.0;-0.193;;-14.1;-2.6;-16.6
10;11;Matthew Mache;3;3;0.0;;;;;0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;-0.006;;-4.7;1.3;-3.5
11;12;Michael Mache;4;6;25.0;0.5;0.5;0.0;0.0;3;40.8;0.0;20.0;0.0;0.0;0.0;0.0;18.0;;0.0;0.0;0.0;0.157;;4.8;-8.2;-3.3
